GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sudoku,sudoku,SudokuBoard,0,409,0,58,0,70,0,38,0,9
sudoku,sudoku,SudokuBox,0,4,0,0,0,2,0,1,0,1
sudoku,sudoku,SudokuColumn,0,4,0,0,0,2,0,1,0,1
sudoku,sudoku,SudokuRow,0,4,0,0,0,2,0,1,0,1
sudoku,sudoku,Main,405,0,0,0,10,0,2,0,2,0
sudoku,sudoku,SudokuField,0,14,0,0,0,6,0,3,0,3
sudoku,sudoku,SudokuBoardDaoFactory,10,0,0,0,3,0,2,0,2,0
sudoku,sudoku,BacktrackingSudokuSolver,0,140,0,14,0,22,0,10,0,3
sudoku,sudoku,Pair,0,33,0,0,0,14,0,7,0,7
sudoku,sudoku,FileSudokuBoardDao,102,0,6,0,29,0,7,0,4,0
sudoku,sudoku,SudokuVerify,0,118,0,8,0,12,0,6,0,2
